bergeys_taxID;bergeys_genus;bergeys_species;bergeys_speciesStrain;bergeys_misclassified;bergeys_oxygen;bergeys_doublingH
1288;Staphylococcus;Staphylococcus xylosus;Staphylococcus xylosus;;facultative;
187304;Labrenzia;Labrenzia aggregata;Labrenzia aggregata;;aerobic;
71235;Stappia;Stappia stellulata;Stappia stellulata;;aerobic;
94;Stella;Stella humosa;Stella humosa;;aerobic;
217070;Stella;Stella vacuolata;Stella vacuolata;;aerobic;
40324;Stenotrophomonas;Stenotrophomonas maltophilia;Stenotrophomonas maltophilia;;aerobic;
41;Stigmatella;Stigmatella aurantiaca;Stigmatella aurantiaca;;;
2017;Streptoalloteichus;Streptoalloteichus hindustanus;Streptoalloteichus hindustanus;;;
1933;Streptoalloteichus;Streptoalloteichus tenebrarius;Streptoalloteichus tenebrarius;;;
1311;Streptococcus;Streptococcus agalactiae;Streptococcus agalactiae;;anaerobic;
1328;Streptococcus;Streptococcus anginosus;Streptococcus anginosus;;aerobic;
113107;Streptococcus;Streptococcus australis;Streptococcus australis;;facultative;
76860;Streptococcus;Streptococcus constellatus;Streptococcus constellatus;;aerobic;
1333;Streptococcus;Streptococcus criceti;Streptococcus criceti;;facultative;
1334;Streptococcus;Streptococcus dysgalactiae;Streptococcus dysgalactiae;;aerobic;
68892;Streptococcus;Streptococcus infantis;Streptococcus infantis;;facultative;
1346;Streptococcus;Streptococcus iniae;Streptococcus iniae;;;
1338;Streptococcus;Streptococcus intermedius;Streptococcus intermedius;;aerobic;
1339;Streptococcus;Streptococcus macacae;Streptococcus macacae;;anaerobic;
229549;Streptococcus;Streptococcus minor;Streptococcus minor;;;
1309;Streptococcus;Streptococcus mutans;Streptococcus mutans;;anaerobic;
45634;Streptococcus;Streptococcus cristatus;Streptococcus cristatus;;;
1318;Streptococcus;Streptococcus parasanguinis;Streptococcus parasanguinis;;;
68891;Streptococcus;Streptococcus peroris;Streptococcus peroris;;facultative;
119224;Streptococcus;Streptococcus phocae;Streptococcus phocae;;aerobic;
1323;Faecalicoccus;Faecalicoccus pleomorphus;Faecalicoccus pleomorphus;;anaerobic;
1313;Streptococcus;Streptococcus pneumoniae;Streptococcus pneumoniae;;aerobic;
1340;Streptococcus;Streptococcus porcinus;Streptococcus porcinus;;anaerobic;
1314;Streptococcus;Streptococcus pyogenes;Streptococcus pyogenes;;;
1341;Streptococcus;Streptococcus ratti;Streptococcus ratti;;;
1304;Streptococcus;Streptococcus salivarius;Streptococcus salivarius;;;
176090;Streptococcus;Streptococcus sinensis;Streptococcus sinensis;;facultative;
1310;Streptococcus;Streptococcus sobrinus;Streptococcus sobrinus;;;
1307;Streptococcus;Streptococcus suis;Streptococcus suis;;;
1308;Streptococcus;Streptococcus thermophilus;Streptococcus thermophilus;;facultative;
55085;Streptococcus;Streptococcus thoraltensis;Streptococcus thoraltensis;;aerobic;
149016;Streptococcus;Streptococcus urinalis;Streptococcus urinalis;;facultative;
1343;Streptococcus;Streptococcus vestibularis;Streptococcus vestibularis;;anaerobic;
1650571;Streptomyces;Streptomyces pathocidini;Streptomyces pathocidini;;;
193461;Streptomyces;Streptomyces aureus;Streptomyces aureus;;;
68182;Streptomyces;Streptomyces capillispiralis;Streptomyces capillispiralis;;;
67344;Streptomyces;Streptomyces prasinopilosus;Streptomyces prasinopilosus;;aerobic;
249581;Streptomyces;Streptomyces ossamyceticus;Streptomyces ossamyceticus;;;
68237;Streptomyces;Streptomyces mediolani;Streptomyces mediolani;;;
291370;Streptomyces;Streptomyces pharetrae;Streptomyces pharetrae;;aerobic;
193460;Streptomyces;Streptomyces sanglieri;Streptomyces sanglieri;;aerobic;
1469144;Streptomyces;Streptomyces thermoautotrophicus;Streptomyces thermoautotrophicus;;;
1952;Streptomyces;Streptomyces thermoviolaceus;Streptomyces thermoviolaceus;;aerobic;
89050;Streptomyces;Streptomyces yeochonensis;Streptomyces yeochonensis;;aerobic;
41675;Stygiolobus;Stygiolobus azoricus;Stygiolobus azoricus;;;4.5
214851;Subdoligranulum;Subdoligranulum variabile;Subdoligranulum variabile;;obligate anaerobic;
120213;Subtercola;Subtercola boreus;Subtercola boreus;;;
120298;Subtercola;Subtercola frigoramans;Subtercola frigoramans;;;
40841;Succiniclasticum;Succiniclasticum ruminis;Succiniclasticum ruminis;;;
78120;Succinispira;Succinispira mobilis;Succinispira mobilis;;;
74348;Sulfitobacter;Sulfitobacter brevis;Sulfitobacter brevis;;;
83219;Sulfitobacter;Sulfitobacter mediterraneus;Sulfitobacter mediterraneus;;;
60137;Sulfitobacter;Sulfitobacter pontiacus;Sulfitobacter pontiacus;;;
53633;Sulfobacillus;Sulfobacillus acidophilus;Sulfobacillus acidophilus;;aerobic;
188789;Sulfobacillus;Sulfobacillus sibiricus;Sulfobacillus sibiricus;;;
28034;Sulfobacillus;Sulfobacillus thermosulfidooxidans;Sulfobacillus thermosulfidooxidans;;obligate aerobic;
338644;Sulfobacillus;Sulfobacillus thermotolerans;Sulfobacillus thermotolerans;;aerobic;
2285;Sulfolobus;Sulfolobus acidocaldarius;Sulfolobus acidocaldarius;;aerobic;
79601;Metallosphaera;Metallosphaera hakonensis;Metallosphaera hakonensis;;aerobic;
47303;Sulfolobus;Sulfolobus metallicus;Sulfolobus metallicus;;;
2286;Sulfolobus;Sulfolobus shibatae;Sulfolobus shibatae;;aerobic;
2287;Sulfolobus;Sulfolobus solfataricus;Sulfolobus solfataricus;;;
73007;Sulfolobus;Sulfolobus yangmingensis;Sulfolobus yangmingensis;;;
53426;Sulfophobococcus;Sulfophobococcus zilligii;Sulfophobococcus zilligii;;obligate anaerobic;
69656;Sulfurisphaera;Sulfurisphaera ohwakuensis;Sulfurisphaera ohwakuensis;;facultative;
57666;Sulfurospirillum;Sulfurospirillum arcachonense;Sulfurospirillum arcachonense;;aerobic;
56698;Sulfurospirillum;Sulfurospirillum arsenophilum;Sulfurospirillum arsenophilum;;;
44674;Sulfurospirillum;Sulfurospirillum barnesii;Sulfurospirillum barnesii;;aerobic;
65553;Sulfurospirillum;Sulfurospirillum deleyianum;Sulfurospirillum deleyianum;;aerobic;
40545;Sutterella;Sutterella wadsworthensis;Sutterella wadsworthensis;;anaerobic;
2734;Symbiobacterium;Symbiobacterium thermophilum;Symbiobacterium thermophilum;;anaerobic;
2754;Synergistes;Synergistes jonesii;Synergistes jonesii;;obligate anaerobic;
119484;Syntrophobacter;Syntrophobacter fumaroxidans;Syntrophobacter fumaroxidans;;anaerobic;
119485;Syntrophobacter;Syntrophobacter pfennigii;Syntrophobacter pfennigii;;anaerobic;
29527;Syntrophobacter;Syntrophobacter wolinii;Syntrophobacter wolinii;;anaerobic;
51197;Syntrophobotulus;Syntrophobotulus glycolicus;Syntrophobotulus glycolicus;;obligate anaerobic;
84037;Syntrophococcus;Syntrophococcus sucromutans;Syntrophococcus sucromutans;;obligate anaerobic;
231025;Syntrophomonas;Syntrophomonas curvata;Syntrophomonas curvata;;anaerobic;
863;Syntrophomonas;Syntrophomonas wolfei;Syntrophomonas wolfei;;anaerobic;
2082;Syntrophomonas;Syntrophomonas bryantii;Syntrophomonas bryantii;;obligate anaerobic;
86170;Syntrophothermus;Syntrophothermus lipocalidus;Syntrophothermus lipocalidus;;obligate anaerobic;
28112;Tannerella;Tannerella forsythia;Tannerella forsythia;;anaerobic;
362781;Tenacibaculum;Tenacibaculum aestuarii;Tenacibaculum aestuarii;;anaerobic;
104269;Tenacibaculum;Tenacibaculum amylolyticum;Tenacibaculum amylolyticum;;;
321269;Tenacibaculum;Tenacibaculum litoreum;Tenacibaculum litoreum;;;
285258;Tenacibaculum;Tenacibaculum lutimaris;Tenacibaculum lutimaris;;anaerobic;
107401;Tenacibaculum;Tenacibaculum maritimum;Tenacibaculum maritimum;;;
104268;Tenacibaculum;Tenacibaculum mesophilum;Tenacibaculum mesophilum;;;
104270;Tenacibaculum;Tenacibaculum ovolyticum;Tenacibaculum ovolyticum;;;
186571;Tenacibaculum;Tenacibaculum skagerrakense;Tenacibaculum skagerrakense;;;
227138;Tepidibacter;Tepidibacter formicigenes;Tepidibacter formicigenes;;anaerobic;
214905;Tepidibacter;Tepidibacter thalassicus;Tepidibacter thalassicus;;anaerobic;
285106;Tepidimicrobium;Tepidimicrobium ferriphilum;Tepidimicrobium ferriphilum;;;
1123352;Tepidimicrobium;Tepidimicrobium xylanilyticum;Tepidimicrobium xylanilyticum;;;
114249;Tepidimonas;Tepidimonas ignava;Tepidimonas ignava;;aerobic;
422442;Terrabacter;Terrabacter aerolatus;Terrabacter aerolatus;;obligate aerobic;
318434;Terrabacter;Terrabacter terrae;Terrabacter terrae;;aerobic;
60443;Terrabacter;Terrabacter tumescens;Terrabacter tumescens;;aerobic;
53356;Terracoccus;Terracoccus luteus;Terracoccus luteus;;;
249;Terrimonas;Terrimonas ferruginea;Terrimonas ferruginea;;;
296052;Terrimonas;Terrimonas lutea;Terrimonas lutea;;;
51669;Tetragenococcus;Tetragenococcus halophilus;Tetragenococcus halophilus;;aerobic;
290335;Tetragenococcus;Tetragenococcus koreensis;Tetragenococcus koreensis;;aerobic;
64642;Tetragenococcus;Tetragenococcus muriaticus;Tetragenococcus muriaticus;;;
101689;Tetrasphaera;Tetrasphaera elongata;Tetrasphaera elongata;;aerobic;
330834;Tetrasphaera;Tetrasphaera jenkinsii;Tetrasphaera jenkinsii;;aerobic;
279813;Thalassobacillus;Thalassobacillus devorans;Thalassobacillus devorans;;obligate aerobic;
59405;Thauera;Thauera aromatica;Thauera aromatica;;anaerobic;
76112;Thauera;Thauera linaloolentis;Thauera linaloolentis;;anaerobic;
82788;Thauera;Thauera mechernichensis;Thauera mechernichensis;;anaerobic;
33058;Thauera;Thauera selenatis;Thauera selenatis;;anaerobic;
76113;Thauera;Thauera terpenica;Thauera terpenica;;anaerobic;
85874;Thermacetogenium;Thermacetogenium phaeum;Thermacetogenium phaeum;;;
73919;Thermaerobacter;Thermaerobacter marianensis;Thermaerobacter marianensis;;obligate aerobic;
159723;Thermaerobacter;Thermaerobacter nagasakiensis;Thermaerobacter nagasakiensis;;obligate aerobic;
175696;Thermaerobacter;Thermaerobacter subterraneus;Thermaerobacter subterraneus;;obligate aerobic;
81462;Thermanaerovibrio;Thermanaerovibrio acidaminovorans;Thermanaerovibrio acidaminovorans;;;
108007;Thermanaerovibrio;Thermanaerovibrio velox;Thermanaerovibrio velox;;;
94009;Thermicanus;Thermicanus aegyptius;Thermicanus aegyptius;;microaerophilic;1.5
278994;Thermincola;Thermincola carboxydiphila;Thermincola carboxydiphila;;;
281456;Thermincola;Thermincola ferriacetica;Thermincola ferriacetica;;;
929;Thermithiobacillus;Thermithiobacillus tepidarius;Thermithiobacillus tepidarius;;aerobic;
2704;Thermoanaerobacter;Thermoanaerobacter acetoethylicus;Thermoanaerobacter acetoethylicus;;obligate anaerobic;
29323;Thermoanaerobacter;Thermoanaerobacter brockii;Thermoanaerobacter brockii;;anaerobic;2
1757;Thermoanaerobacter;Thermoanaerobacter ethanolicus;Thermoanaerobacter ethanolicus;;obligate anaerobic;
108150;Thermoanaerobacter;Thermoanaerobacter italicus;Thermoanaerobacter italicus;;;2.1
187311;Thermoanaerobacter;Thermoanaerobacter keratinophilus;Thermoanaerobacter keratinophilus;;obligate anaerobic;1.116666667
2325;Thermoanaerobacter;Thermoanaerobacter kivui;Thermoanaerobacter kivui;;obligate anaerobic;1.75
583357;Thermoanaerobacter;Thermoanaerobacter mathranii;Thermoanaerobacter mathranii;;;1.233333333
106578;Thermoanaerobacter;Thermoanaerobacter siderophilus;Thermoanaerobacter siderophilus;;obligate anaerobic;
120958;Thermoanaerobacter;Thermoanaerobacter sulfurigignens;Thermoanaerobacter sulfurigignens;;anaerobic;
74714;Thermoanaerobacter;Thermoanaerobacter sulfurophilus;Thermoanaerobacter sulfurophilus;;obligate anaerobic;
29350;Thermoanaerobacter;Thermoanaerobacter thermocopriae;Thermoanaerobacter thermocopriae;;obligate anaerobic;
1516;Thermoanaerobacter;Thermoanaerobacter thermohydrosulfuricus;Thermoanaerobacter thermohydrosulfuricus;;obligate anaerobic;
46354;Thermoanaerobacter;Thermoanaerobacter wiegelii;Thermoanaerobacter wiegelii;;anaerobic;1.2
242698;Thermoanaerobacterium;Thermoanaerobacterium aciditolerans;Thermoanaerobacterium aciditolerans;;anaerobic;1
47490;Thermoanaerobacterium;Thermoanaerobacterium aotearoense;Thermoanaerobacterium aotearoense;;obligate anaerobic;
28896;Thermoanaerobacterium;Thermoanaerobacterium saccharolyticum;Thermoanaerobacterium saccharolyticum;;;
1517;Thermoanaerobacterium;Thermoanaerobacterium thermosaccharolyticum;Thermoanaerobacterium thermosaccharolyticum;;;
33950;Thermoanaerobacterium;Thermoanaerobacterium thermosulfurigenes;Thermoanaerobacterium thermosulfurigenes;;;
29329;Thermoanaerobacterium;Thermoanaerobacterium xylanolyticum;Thermoanaerobacterium xylanolyticum;;;
160792;Caldanaerobius;Caldanaerobius zeae;Caldanaerobius zeae;;;1.8
